Suspicious Transactions Report - Norway - 5/11/2025 12:12:22 AM
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 2.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 5.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 4.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 3.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 2.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 1.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 1.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 1.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 424.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 124.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 241.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 424.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 124.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 221.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 21421.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 42414.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 4214.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 4214.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 4214.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 11.05, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 24.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 2.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 1.00, Date: 4/17/2025
CustomerName: Stormo Hanna, AccountId: 1293535662, TransactionId: 0, Amount: 55.00, Date: 4/18/2025
