Suspicious Transactions Report - Sweden - 5/11/2025 12:10:37 AM
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 33975.00, Date: 12/7/2016
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 1/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 2/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 3/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 4/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 5/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 33975.00, Date: 6/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 7/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 8/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 9/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 10/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 11/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 33975.00, Date: 12/7/2017
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 1/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 2/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 3/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 4/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 5/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 33975.00, Date: 6/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: -3480.00, Date: 6/9/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 7/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 8/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 9/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 10/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 22650.00, Date: 11/7/2018
CustomerName: Jansson Pelle, AccountId: 1856406595, TransactionId: 0, Amount: 33975.00, Date: 12/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 10/7/2015
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 11/7/2015
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 12/7/2015
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 1/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 2/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 3/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 4/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 5/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 6/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 7/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 8/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 9/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 10/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 11/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 12/7/2016
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 1/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 2/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 3/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 4/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 5/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 6/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 7/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 8/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 9/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 10/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 11/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 12/7/2017
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 1/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 2/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 3/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 4/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 5/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 6/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 7/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 8/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 9/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 10/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 20475.00, Date: 11/7/2018
CustomerName: Danielsson Petra, AccountId: 1595997714, TransactionId: 0, Amount: 30712.00, Date: 12/7/2018
